issuer_lei,ultimate_parent_lei,parent_country_iso,relationship_type,source
2549002XKO8XBAXUDO24,529900896ODARUEY2V26,HK,ULTIMATE,GLEIF-RR+API
2549002Y472ADOL5ED56,2549002Y472ADOL5ED56,VG,SELF,GLEIF-RR+API
2549003266GB5MP1HL03,254900QJ68UH8GKNGI69,PH,ULTIMATE,GLEIF-RR+API
25490032WO5XW3V7KL43,25490032WO5XW3V7KL43,KY,SELF,GLEIF-RR+API
25490036G9JNQQPHIX69,25490036G9JNQQPHIX69,KY,SELF,GLEIF-RR+API
25490037AMBNS8P47972,25490037AMBNS8P47972,KY,SELF,GLEIF-RR+API
25490038OT2B8HTRW786,25490038OT2B8HTRW786,KY,SELF,GLEIF-RR+API
2549003AJI1YI8883K46,254900Z8HM1VEPOQ2G79,KY,ULTIMATE,GLEIF-RR+API
2549003CI27B7ZDOMR46,2549003CI27B7ZDOMR46,KY,SELF,GLEIF-RR+API
2549003ERUOB9GHDTJ15,2549003ERUOB9GHDTJ15,KY,SELF,GLEIF-RR+API
2549003GJ8G38UZMJ094,254900N86S0OLGWZ5162,HK,ULTIMATE,GLEIF-RR+API
2549003HLFPQ7ATPYA23,2549003HLFPQ7ATPYA23,KY,SELF,GLEIF-RR+API
2549003J58N9TB141B68,2549003J58N9TB141B68,KY,SELF,GLEIF-RR+API
2549003LUS5LG1CTZP23,2549003LUS5LG1CTZP23,KY,SELF,GLEIF-RR+API
2549003PA4N7YYXOW035,2549003PA4N7YYXOW035,KY,SELF,GLEIF-RR+API
2549003R73Q70J5H4I65,2549003R73Q70J5H4I65,KY,SELF,GLEIF-RR+API
2549003R8RQYIUTF0A45,2549003R8RQYIUTF0A45,VG,SELF,GLEIF-RR+API
2549003UVE1FJ8DQF876,2549003UVE1FJ8DQF876,VG,SELF,GLEIF-RR+API
2549003VC5PGFRGCQU51,2549003VC5PGFRGCQU51,KY,SELF,GLEIF-RR+API
2549003WYM14VF96TT33,2549003WYM14VF96TT33,BM,SELF,GLEIF-RR+API
2549004564BZEAL33Q65,254900NYBG45K2CZJZ83,HK,DIRECT,GLEIF-RR+API
2549004H0JOYEPRCTE90,2549004H0JOYEPRCTE90,KY,SELF,GLEIF-RR+API
2549004IE8HHQL34D058,2549004IE8HHQL34D058,KY,SELF,GLEIF-RR+API
2549004J4MWM1CEW4533,2549004J4MWM1CEW4533,JE,SELF,GLEIF-RR+API
2549004JK1JYCMYC3T80,2549004JK1JYCMYC3T80,KY,SELF,GLEIF-RR+API
2549004OBV99HLLZ8553,2549004OBV99HLLZ8553,HK,SELF,GLEIF-RR+API
2549004PE8SIGYBLPX59,2549004PE8SIGYBLPX59,KY,SELF,GLEIF-RR+API
2549004R1NTM2HJCGO78,2549004R1NTM2HJCGO78,KY,SELF,GLEIF-RR+API
2549004RMYDSRQL4KW41,2549004RMYDSRQL4KW41,KY,SELF,GLEIF-RR+API
2549004SF2TNFAFBX887,2549004SF2TNFAFBX887,HK,SELF,GLEIF-RR+API
2549004WGGNOPL8NUL61,2549004WGGNOPL8NUL61,KY,SELF,GLEIF-RR+API
2549004YLPCISGLL7978,2549004YLPCISGLL7978,KY,SELF,GLEIF-RR+API
25490053S2JSJU63Y978,25490053S2JSJU63Y978,KY,SELF,GLEIF-RR+API
25490058ONL9SCIE1R22,25490058ONL9SCIE1R22,KY,SELF,GLEIF-RR+API
25490058XRCE9DZAMJ79,25490058XRCE9DZAMJ79,HK,SELF,GLEIF-RR+API
2549005C0PJHMYEI7U38,2549005C0PJHMYEI7U38,KY,SELF,GLEIF-RR+API
2549005C2Y8BRVJ7PQ20,3003002BYTNGNJTWSH07,CN,DIRECT,GLEIF-RR+API
2549005DONFYBXB2FX49,2549005DONFYBXB2FX49,KY,SELF,GLEIF-RR+API
2549005GEGKY2Q53V676,2549005GEGKY2Q53V676,KY,SELF,GLEIF-RR+API
2549005JVL4XLCX5SY63,2549005JVL4XLCX5SY63,KY,SELF,GLEIF-RR+API
2549005M4UVY5ECAWW87,2549005M4UVY5ECAWW87,KY,SELF,GLEIF-RR+API
2549005MTORTL04RYQ32,2549005MTORTL04RYQ32,KY,SELF,GLEIF-RR+API
2549005Q343BSJ8RSS21,2549005Q343BSJ8RSS21,KY,SELF,GLEIF-RR+API
2549005QZPXI5WPU4V74,2549005QZPXI5WPU4V74,KY,SELF,GLEIF-RR+API
2549005RHPY3C68SIP61,2549005RHPY3C68SIP61,KY,SELF,GLEIF-RR+API
2549005S1LQJ8MBPXW05,2549005S1LQJ8MBPXW05,KY,SELF,GLEIF-RR+API
2549005TNASWKLR0XC37,5493001Z3ZE83NGK8Y12,GB,ULTIMATE,GLEIF-RR+API
2549005VHJ8BB9WPL105,2549005VHJ8BB9WPL105,KY,SELF,GLEIF-RR+API
2549005VRCK51O5LRS39,2549005VRCK51O5LRS39,KY,SELF,GLEIF-RR+API
2549005WGFMWUP2R7X75,2549005WGFMWUP2R7X75,BM,SELF,GLEIF-RR+API
25490060B1K1MTWQL183,25490060B1K1MTWQL183,MY,SELF,GLEIF-RR+API
25490062URZHNZQBTW39,529900SYQB7IVR9QGN76,HK,ULTIMATE,GLEIF-RR+API
25490064KF1PM0300Z69,25490064KF1PM0300Z69,KY,SELF,GLEIF-RR+API
25490069XJXEQGFCG629,25490069XJXEQGFCG629,KY,SELF,GLEIF-RR+API
2549006E2S3MDN9M6Q69,2549006E2S3MDN9M6Q69,KY,SELF,GLEIF-RR+API
2549006HEQ2V3JUMNQ45,2549006HEQ2V3JUMNQ45,VG,SELF,GLEIF-RR+API
2549006I3Q3M98KHOT11,2549006I3Q3M98KHOT11,HK,SELF,GLEIF-RR+API
2549006JVW9O28JU2J23,2549006JVW9O28JU2J23,KY,SELF,GLEIF-RR+API
2549006KGP87C90JH464,2549006KGP87C90JH464,KY,SELF,GLEIF-RR+API
2549006PIKT2YKNBL092,2549006PIKT2YKNBL092,KY,SELF,GLEIF-RR+API
2549006T07J6W6BRGY58,2549006T07J6W6BRGY58,VG,SELF,GLEIF-RR+API
2549006UGYVSVYJ8VC42,2549006UGYVSVYJ8VC42,KY,SELF,GLEIF-RR+API
2549006W3UQV900EI619,2549006W3UQV900EI619,KY,SELF,GLEIF-RR+API
2549006XE21BJYYKLT79,2549006XE21BJYYKLT79,KY,SELF,GLEIF-RR+API
254900703QFF6V3H5059,254900174PJNJZL9CU22,HK,ULTIMATE,GLEIF-RR+API
25490072LQI0R2J4XC93,25490072LQI0R2J4XC93,KY,SELF,GLEIF-RR+API
254900748HGC4RBR4O84,254900748HGC4RBR4O84,HK,SELF,GLEIF-RR+API
25490076V8K09HMNCT88,2549008GWMWXTIRL4S48,HK,ULTIMATE,GLEIF-RR+API
25490077CXFU133A8B24,25490077CXFU133A8B24,KY,SELF,GLEIF-RR+API
